id,question,gold_standard_answer,gold_standard_documents,,,
35,How do I deploy SL1 in Azure?,"SL1 Appliance Deployment Order for Distributed Systems
To deploy a distributed SL1 system on Azure instances, create appliances in this order:
Database Server
Administration Portal (if applicable)
Data Collectors
Message Collectors (if applicable)
Installing and Configuring the Azure CLI
Azure CLI is a tool that lets you manage resources in Azure. To complete the SL1 installation on Azure using the procedures in this section, you must have the Azure CLI tool installed.
To install and configure the Azure CLI tool:
Download and install the Azure CLI tool from the Microsoft website:
https://docs.microsoft.com/en-us/cli/azure/install-azure-cli-windows?view=azure-cli-latest
After installation completes, search for and click on ""PowerShell"" in Windows to start the program.
In PowerShell, type ""az login"". You will be prompted to sign into your Microsoft Azure account. After you log in, you will see information about your Azure subscription within the PowerShell window.
Configuring an Azure Resource Group and Storage Account
To create and configure an Azure storage account:
Log in to the Azure Portal, and then click Resource groups on the left menu.
Click the Add button and add information for a new Resource group. Click the Create resource group button to create the Resource group.
After creating the Resource group, click Storage accounts on the left menu.
Click the Add button, and then click the Create Storage accounts button to create a new Storage account. When creating the Storage account, complete the following fields:
Deployment model. Select Resource manager.
Account kind. Select General purpose.
Resource group. Select Use existing, and then select the Resource group you created in step 2.
After creating the Storage account, click Storage accounts on the left menu, and then select the newly created Storage account.
Under the Services section of the Storage account pane, click Blobs. The Blob service blade information appears.
In the Blob service pane, click the Plus icon to add a new container. Type a name for the container and select Blob as the Access Type. When you are finished, click the Create button to create the Blob container.
Creating the BLOB_URI
Before you can upload the VHD image file, you must:
Determine the URL value of the Azure storage account
Define the BLOB_URI
To create the BLOB_URI, you must determine the container URL and then append the name of the VHD file. You will use the BLOB_URI value when you upload the VHD file. This BLOB_URI tells Azure where to put the VHD file and what to call it.
To determine the container URL:
Log in to the Azure portal.
Select Storage Accounts.
Select the Containers section.
Click the ellipsis (...) button to the right of the container name to open the pop-up menu.
Click Container Properties in the pop-up menu. You will see a URL displayed in the Properties.
Click the blue Copy icon on the Properties page to copy the URL for the container.
To create the BLOB_URI value, append the destination to the container URL. For example, if the container URL is:
https://azuretest.blob.core.windows.net
Your BLOB_URI value might be:
https://azuretest.blob.core.windows.net/vhds/em7inazure.vhd
Where ""/vhds"" is the directory on the container, and ""em7inazure.vhd"" is the name of the VHD image file you will be uploading.
Uploading a VHD Image File to an Azure Storage Account
After creating the Resource group, Storage account, and Blob container, you must upload the ScienceLogic VHD image file to the Blob container. To do so, you will need the following information:
The ScienceLogic VHD file
Resource Group name
Blob container URI
Local file path to the VHD file
Downloading the ScienceLogic VHD File
To download the ScienceLogic VHD file:
Open a browser session and go to support.sciencelogic.com.
Go to the Product Downloads menu and choose Platform.
Find the platform version that you want to download. Click on its name.
Expand the Release Files list and find an entry of Record Type Product Image.
In the Release File Downloads pane to the right, download the .vhd files for each SL1 appliance.
Converting a VHD Image File from Dynamic to Fixed
After downloading the ScienceLogic VHD file to a Windows server, you must convert it from Dynamic to Fixed.
To do this:
Open a PowerShell session as an administrator.
At the PowerShell prompt, navigate to the directory to which you downloaded the .vhd file.
For each .vhd file, run the following command:
Convert-VHD –Path <vhd_file_path> –DestinationPath <destination_file_path> –VHDType Fixed
where:
vhd_file_path specifies the full path of the downloaded .vhd file, including the file name.
destination_file_path specifies the full path to where you want to store the converted file, including the file name
If you see the following error, proceed to step 5. Otherwise, proceed to the next section.
convert-vhd: The term 'convert-vhd' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.
To install the Hyper-V Module for Windows PowerShell, run the following command:
Enable-WindowsOptionalFeature -Online -FeatureName Microsoft-Hyper-V-Management-PowerShell
To install Hyper-V Services, run the following command:
Enable-WindowsOptionalFeature -Online -FeatureName Microsoft-Hyper-V -all
Reboot the server when prompted.
Uploading the VHD File to an Azure Container
To upload the ScienceLogic VHD file to your Blob container, perform the following steps:
Open Microsoft Azure PowerShell and log in to your Azure account:
Login-AzAccount
You created a resource group and storage container blob to which you will upload your VHD image file in Configuring an Azure Resource Group and Storage Account. You identified the BLOB_URI in Obtaining the Container URL for an Azure Storage Account. Now you are ready to upload your VHD image file.
The virtual machine that you create in Creating an Azure Virtual Machine must be in the same resource group as the storage account.
Add your VHD file to the storage account with the following cmdlet:
Add-AzVhd -Destination '<BLOB_URI>' -LocalFilePath '<VHD_LOCAL_FILE_PATH>' -ResourceGroupName '<RESOURCE_GROUP>'
where:
BLOB_URI specifies the BLOB_URI you created in the section Creating the BLOB_URI where you will upload your VHD file. When entering the BLOB_URI, you must include the .vhd file name. For example: https://azuretest.blob.core.windows.net/vhds/em7inazure.vhd
VHD_LOCAL_FILE_PATH specifies the file path on your machine for the VHD file you want to upload.
RESOURCE_GROUP specifies the resource group you created and that will be used when you create the Azure VM.
Repeat step 3 for each VHD file.
Creating the Image
The following steps require that you have an Azure resource group and storage account with the VHD file uploaded.
To create the image:
Open Microsoft Azure PowerShell and log in to your Azure account:
Login-AzureRmAccount
Run the following command:
az image create --name <image-name> -g <resource-group-name> --os-disk-caching ReadWrite --os-type Linux --source <BLOB_URI>
where:
resource-group-name specifies the resource group you created in Azure.
image-name specifies what you want to call the image (such as ""dbimage123"").
BLOB_URI specifies the destination value you provided when you uploaded the VHD file. This is also the BLOB_URI you created in the section Creating the BLOB_URI. When entering the BLOB_URI, you must include the .vhd file name. For example: https://azuretest.blob.core.windows.net/vhds/em7inazure.vhd
This command might return a large amount of JSON output. This is normal.
Repeat these steps for each SL1 appliance you want to build.",sciencelogic_installation_12-3-3,,,
36,How do I disable phpMyAdmin? ,"To disable phpMyAdmin, you must disable the service and then disable the ports on which the service runs. To do this:
Either go to the console of your Database Server or All-In-One Appliance, or use SSH to access the Database Server or All-In-One Appliance. Open a shell session on the server. Log in as an administrator.
Edit the file /etc/siteconfig/firewalld-rich-rules.siteconfig:
sudo vifirewalld
Add the following lines:
rule service name=""phpmyadmin"" reject\
rule port port=""8008"" protocol=""tcp"" reject
Save your changes and exit the file (:wq).",sciencelogic_sysadmin_12-5-4,,,
37,How do I change the IP address of my collector?,"You can change the IP address of a Data Collector or Message Collector in two ways:
In the Web Configuration Utility
From the command line of the Data Collector or Message Collector
Regardless of the method you choose, SL1 will automatically update the IP address of the Data Collector or Message Collector in:
/etc.sillo.conf
/etc/sysconfig/network-scripts/ifcfg-ens160
/etc/hosts
the master.system_settings_licenses table, in the ip column
The following sections explain the necessary steps.
Using the Web Configuration Utility to Change the IP Address of a Data Collector or Message Collector
Perform the following steps to log in to the Web Configuration Utility:
You can log in to the Web Configuration Utility using any web browser supported by SL1. The address of the Web Configuration Utility is in the following format:
https://<ip-address-of-appliance>:7700
For AWS instances, ip-address-of-appliance is the public IP for the AWS instance. To locate the public IP address for an AWS instance, go to AWS, go to the Instances page, and highlight an instance. The Description tab in the lower pane will display the public IP.
When prompted to enter your user name and password, log in as the ""em7admin"" user with the appropriate password.
After logging in, the main Configuration Utility page appears.
Select the Interfaces tab.
In the Interfaces page, select the interface that you want to edit.
Enter values in the following field:
Interface IP Address. Required. Enter the IP address for the bonded interface in standard IPv4, dotted-octet format.
The IP address for the Data Collector or Message Collector will be automatically updated in all the necessary configuration file and database tables.
Using the Command Line to Change the IP Address of a Data Collector or Message Collector
Either go to the console of the Data Collector or Message Collector or use SSH to access the server.
At the shell prompt, enter:
update_ip <interface_ID> <new_IP>
where:
interface_ID is the name of the interface, usually ensn32 or ens160.
new_IP is the new IP address to assign to the interface.
The IP address for the Data Collector or Message Collector will be automatically updated in all the necessary configuration file and database tables.",sciencelogic_sysadmin_12-5-4,,,
38,What was fixed in SL1 12.3.6?,"This section describes the issues that were addressed in SL1 Ibiza 12.3.6.
Concurrent PowerShell
Resolved an issue that was sometimes causing a minor event and the message ""Updated PowerShell credential schema V2 not available, fallback to V1"" to appear in the system log for users who utilize concurrent PowerShell. (Jira ID: EM-74551)
Data Collection
""Index Label"" class collection objects now properly store the index value when concurrent SNMP collection is enabled. (Case: 00510290) (Jira ID: EM-73945)
Resolved an issue that caused collection to terminate without completing (SIGTERM) when adding overrides for class-based quality of service (CBQoS) alerts and thresholds. (Case: 00490191) (Jira ID: EM-71930)
Resolved an issue that caused very high CPU usage, SIGTERMs, and other collection issues on Data Collectors due to the same query running multiple times. (Cases: 00502085, 00502942) (Jira ID: EM-73066)
Addressed logic errors in critical ping storage and alerting, and also addressed an issue that was causing a unhandled exception. (Jira ID: EM-71776)
Deployment and Configuration
Addressed an issue that prevented users who were using a yum proxy from logging in to the Web Configuration Utility. (Case: 00515777) (Jira ID: EM-74126)
Discovery
Ensured that SNMP timeouts or other errors occurring while attempting to retrieve a device's sysobjectid does not result in the removal of the device's device class. (Case: 00450503) (Jira ID: EM-71048)
PhoneHome Communication
Improved the responsiveness of PhoneHome connections by enabling the ""keepalive"" option for the TCP connection. (Cases: 00437135, 00513519) (Jira ID: EM-65069)
User Interface
The Agents page (Devices > Agents) now loads properly when your SL1 system includes vanished agent-monitored devices. (Case: 00493976) (Jira ID: EM-79262)", sciencelogic_12-3-6_release_notes,,,
39,How do I upgrade my Linux agent?,"To upgrade with Linux :
Debian or Ubuntu
sudo dpkg -i sl_agent.deb
The RUN_AS state can be changed via the command line with RUN_AS_ROOT=1 or by updating the file /etc/scilog/run_state.txt with the same information.
The command line option will always take precedence.
The default RUN_AS state is ""root"" when no command line RUN_AS_ROOT=X parameter is given and there is no /etc/scilog/run_state.txt file.
RHEL or CentOS
sudo rpm -U sl_agent.rpm
The RUN_AS state can be changed via the command line with RUN_AS_ROOT=1 or by updating the file /etc/scilog/run_state.txt with the same information.
The command line option will always take precedence.
The default RUN_AS state is ""root"" when no command line RUN_AS_ROOT=X parameter is given and there is no /etc/scilog/run_state.txt file.",sciencelogic_agent_monitoring_12-5-1,,,
40,How do I backup PowerFlow?,"To create a backup:
To add the relevant configuration information, go to the Configurations page () and click the Edit button or click the Actions button () and select Edit for the ""PF - System Backup Configuration Example"" configuration object. The Configuration pane appears:
Click the Copy as button and provide values for the following fields in the Create Configuration pane:
Friendly Name. Name of the configuration object that will display in the user interface.
Description. A brief description of the configuration object.
Author. User or organization that created the configuration object.
Version. Version of the configuration object.
backup_destination. The location where the backup file is created. The default is /usr/tmp.
remote_host. The hostname for the remote location where you want to send the backup file via SCP from the backup_destination location.
remote_user. The user login for the remote location.
remote_password. The user password for the remote location. Encrypt this value.
remote_destination. The remote location where the application will send the backup file.
remote_ssh_key. The remote SSH key you want to use in place of a password for the remote location. Use the newline character \n as a separator. If the SSH key needs a paraphrase to be decrypted, set the paraphrase by creating a remote_password variable in the configuration object aligned with the applications.
You will need to edit the SSH Key values in the JSON Editor for this release to ensure the key is properly set. For example:""{config.ssh_key}"". This is a known issue that will be addressed in a future release.
To get a one-line string of the SSH key, run the following command:
sed -E ':a;N;$!ba;s/\r{0,1}\n/\\n/g' ~/.ssh/id_rsa
Click the Save button.
Go to the Applications page and select the ""PowerFlow Backup"" application.
Click the Configure button. The Configuration pane appears: On the Configuration pane, provide values for the following fields:
Configuration. Select the configuration object you created in steps 1-3.
cluster_node. Specify the node from which you want to make the backup (for a single-node backup only). You can specify the order of the nodes that you are backing up by listing each node in order of preference, separated by commas. If one of the nodes fails or is unavailable, the backup application continues down the list of nodes in the order you specified in this field. For example: couchbase-worker.isnet,couchbase-worker.isnet2,couchbase.isnet. To use the ordered backup option, you must also check the single_node field.
use_ssh_key. Select this option if you want to run the backup application using an SSH key for authentication instead of using a password. You will need to provide a remote_ssh_key value in the configuration object you aligned with this application, such as config.remote_ssh_key.
single_node. Select this option only if you want to back up from a single node in the cluster. Specify the node in the cluster_node field. You should also select this option if you want to specify the order of the nodes that you are backing up, and list each node in order of preference in the cluster_node field.
verify_cluster. Use to verify Couchbase Cluster Health Status.
The verify_cluster option must not be disabled, otherwise incomplete backups can be created in cluster environments if the cluster is unhealthy.
create_report. Create a report of the content bucket document IDs that were backed up. This only works if the verify_cluster option is enabled and the cluster is healthy.
data_only. Select this option if you only want to restore bucket data.
compress. Select this option to compress backups using Gzip.
include_syncpacks. Select this option if you want to back up the SyncPacks on the PowerFlow system.
installed_only. Select this option if you want to back up only SyncPacks that have been installed. If you do not select this option, the application will also back up SyncPacks that have been uploaded to the PowerFlow system.
bucket. Select which bucket in Couchbase you want to back up. Your options include:
all. Back up all buckets.
content. Back up only buckets that have content in them.
logs. Back up only the logs.
To keep backups as small as possible, ScienceLogic recommends selecting only data_only and bucket > content. These settings will keep backups to <5mb each, and contains all essential data (configuration objects, applications, and steps).
document_key: Select whether you want to back up all record or CI and device cache records.
The options you select affect the name of the backup file that this application generates. For example, is_couchbase_backup-data_only-2019-04-01T185527Z.tar is a uncompressed data only backup, while is_couchbase_backup-data_only-cache-logs-couchbase.isnet-2019-04-01T185937Z.tar.gz is a compressed data-only backup of the CI and device cache from the couchbase.isnet node in a cluster.
Click the Save button. The Configuration pane automatically closes.
On the Application detail page, click the Run Now button. When the application completes, a file named ""is_couchbase_backup-<date>.tar"" is added to the remote server in the specified remote backup destination.
To ensure that the backup was created, select the ""Create IS Backup"" step and open the Step Log section.
Look for entries related to backup and make a note of the of the backup file name, which you will need when you run the ""PowerFlow Restore"" application:",sciencelogic_powerflow_3-2-0,,,answer in image and text
41,How do I fix the error KeyError: 'curl_url' when using Linux SSH Automations policies?,"Step 1: Download v1.1.1 of the silo_network_tools library
silo_network_tools+1.1.1…
Step 2: Remove v1.0.16 of the silo_network_tools library from the Linux SSH Automations v2.0 Execution Environment
Step 3: Add v1.1.1 of the silo_network_tools library to the Linux SSH Automations v2.0 Execution Environment",[Major] KeyError: 'curl_url' when using Linux SSH Automations policies,,,
42,Why is my mail configuration broken after upgrading to SL1 12.3.6?,"Issue
After updating from 12.1.1 to 12.2.x/12.3.x, it has been observed that the inbound email configuration breaks.
Details
The configuration will remain in the database, so the UI still shows the configuration exists, but the authorized email domain customization are removed from the /etc/postfix/main.cf file so emails are bounced back. This seems to be due to a race condition in 12.2.0+

Steps To Reproduce
1. Install 12.1.1
2. 3. Configure some Authorized Email Domains from the System > Settings > Email page
Access the database CLI and run: grep mydestination /etc/postfix/main.cf
1. Observe that the domains you configured in the UI are reported
4. Update to 12.2.1.2. Wait for postupdate to complete
5. Access the database CLI and run: grep mydestination /etc/postfix/main.cf
1. Observe that the domains you configured in the UI are no longer reported
6. To workaround: Go back to the System > Settings > Email page, click save
1. Access the database CLI and run: grep mydestination /etc/postfix/main.cf
1. Observe that the domains you configured in the UI are reported
Symptoms
After update, emails start bouncing back
Workaround
Go to the System > Settings > Email page, click save
Fix
This issue is targeted for a fix in 12.3.10/12.5.2/12.6.0 (Engineering Jira Reference: EM-71748 and EM-
75104/EM-75443).","12.3.x Update Inbound Email Configuration Breaks, [MAJOR] Inbound Email no longer works after updating to 12.2.1.2",,,
43,What is a SIGTERM?,"SL1 Collection processes are run at regular intervals for a specific period of collection and have a run time limit. When this time limit is exceeded, the process is sent a signal to terminate (a SIGTERM). When we are unable to complete all configured collections within the run time limit, we start to see SIGTERMs.
SIGTERMing typically happens on heavily loaded collectors when thousands of jobs (app/device pairs) are scheduled for collection. There is a pool of worker processes that execute chunks of jobs in succession. While having multiple worker processes gives us some parallelization, a chunk of jobs is executed serially within each worker. When the cumulative execution time of one or more chunks exceeds the SIGTERM limit, process manager will issue SIGTERMs followed by SIGKILLs for any workers that are still lingering. Any jobs that were queued up after that point will not have had a chance to execute and will not satisfy their collections, leading to gaps in time-series graphs for performance data, auto-disabling of collection tasks, etc.
That said, a heavily loaded collector is not a requirement for seeing SIGTERMs. If a single job were to take more time than the SIGTERM limit, that one job would get SIGTERMed. There can be a variety of reasons that a job can take excessive time to complete. Incorrectly configured credential retry counts or time limits, network delay, inadequately provisioned devices, and inefficient applications are just a few of the possible ways that a job can be slow.","Troubleshooting Interface Bandwidth SIGTERMs, Troubleshooting Dynamic Application SIGTERM",,,
44,What is a SQL query to see the top 10 event policies for active events? ,"SELECT Concat(pe.ename, ""["", ea.etype, ""]"") AS ""Event Name [ID]"", Count(*), estate, ea.emessage AS SampleMessage
FROM master_events.events_active ea JOIN master.policies_events pe ON pe.id = ea.etype
GROUP BY estate, Concat(pe.ename, ""["", ea.etype, ""]"")
ORDER BY Count(*) DESC
LIMIT 10;",service-Useful Queries,,,
45,How can I install third-party packages on SL1 appliances? ,ScienceLogic does not support installing any third-party packages or modifying any configuration files of an appliance. Doing so voids the warranty. Changes to an appliance can cause system failure and make the stack unable to be upgraded to new SL1 versions.,Does ScienceLogic support installation of third,,,
46,I get a license expiry event. What should I do? ,"You need to submit a license request , then use steps in the documentation below to install it https://docs.sciencelogic.com/latest/Content/Web_Install_Configure/Installation/installation_web_config.htm

You can also:
If it's a Critical event (""License expires in less than 14 days"" or ""License expired""), act immediately.
If it's a Major event (""License expires in less than 30 days""), plan ahead.
Verify the license status.
Submit a License Request:
Go to: https://support.sciencelogic.com/s/create-service-request
Select ""License Request"" as the category.
Provide:
Hostnames
MAC addresses
Registration keys from all DB/AIO appliances
If expiration is imminent (within 24 hours):

Call ScienceLogic Support immediately at: https://support.sciencelogic.com/s/contactsupport
After submission:

Wait for the new license to be issued (processed within business hours: Mon–Fri, 9AM–6PM US EST).
Apply the new license via the UI or CLI.

Note:  The appliance checks for license updates every 24 hours.
If offline, manually force an update:
Administration > System Settings > Appliance > Force Check/Update Now
Grace period:

90 days after expiration before processes stop","restorepoint-userguide-56, sciencelogic_powerflow_3-2-0 , sciencelogic_sysadmin_12-5-4.pdf",,,
47,I forgot my em7admin password. How do I reset it? ,"There are multiple em7admin accounts in SL1. If you forgot UI em7admin password, please follow steps in the KB 1498, but if you forgot CLI/SSH password, follow steps in KB 1270. 

1. Option 1: If you've forgotten the em7admin password for the SL1 UI, you can reset it by logging in with another
user account of Account Type ""Individual / Administrator"". Users that are administrators via Account
Type ""Policy Membership / User: EM7 Administrator"" do not have sufficient privilege to reset the
passwords of ""Individual / Administrator"" accounts. Please refer to docs ""resetting em7admin ui password"" for further details. 

2.  Option 2: Via SSH as the ""em7admin"" user - 
a. Step 1 Reboot server.
b. Step 2 Edit profile in GRUB menu. 
c. Step 3 Locate rhgb quiet.
d. Step 4 Replace “rhgb quiet” with ""init=/bin/bash"" (no quotes).
e. Step 5 Boot the appliance,  press CTRL+x 
f. Step 6 Wait for the bash prompt
g. Step 7 Remount Filesystem
h. Step 8 Reset the Password
i. Step 9 Reboot the appliance, then login with the new password",Resetting the em7admin UI Password,,,
48,Who is my CSM/CEM? How do I contact my CSM/CEM? ,You CSM is <name of CSM>:<email>. And if CSM is not available you can also contact your Account Exec <name of AE>:<email>,"
sciencelogic_12-2-0_release_notes,  Find My Case new customer functionality in support portal website",,,
49,I am not receiving events from traps that I sent to SL1. What could be wrong? ,"You need to make sure your configuration is correct. Refer to this section of the documentation: https://docs.sciencelogic.com/latest/Content/Web_Events_and_Automation/Syslogs_and_Traps/snmp_traps.htm
Then you can use steps in KB 4692 to test your configuration. And finally, you can check KB 11392 to ensure your configuration is not missing authUser in snmptrapd.conf file.


""## Likely causes when traps don’t show up as events in SL1

### 1) Traps aren’t actually reaching the right SL1 appliance (network/port)
- By default, SL1 collectors listen for traps on UDP `162` (unless you changed it). Make sure the device is sending to the correct IP and port .
- Quick verification on the **Message Collector** (or the collector you expect to receive traps):
  ```bash
  tcpdump -i any udp port 162 -s 0 -vv
  ```
  If you don’t see packets, it’s upstream (routing, firewall, NAT, wrong destination).

### 2) Collector Group alignment is wrong (SL1 discards or can’t associate the trap)
SL1 only processes traps if:
- The sending device is aligned to the same **Collector Group (CUG)** as the Data/Message Collector receiving the traps .
- The device IP used for monitoring (“management IP”) matches the trap source IP; if the device has multiple IPs, you may need to set the correct one as **Primary IP** .
- If there’s a load balancer/NAT in front, the original source IP must be retained—if the source IP gets overwritten, SL1 may discard the message .

### 3) SNMPv3 traps are arriving, but `snmptrapd` isn’t authorizing/processing them
If you’re using SNMPv3, it’s common to see packets arrive via `tcpdump`, but nothing gets logged/processed due to config issues:
- Confirm `createUser` is correct in `/etc/snmp/snmptrapd.conf` (engine ID + auth/priv settings) .
- Make sure there’s an `authUser` line authorizing that user; without it, traps may not be processed :
  ```bash
  # in /etc/snmp/snmptrapd.conf
  authUser log,execute,net <myuser>
  ```
- Then restart `snmptrapd` (and clear persisted config) :
  ```bash
  systemctl mask snmptrapd && systemctl stop snmptrapd
  rm /var/lib/net-snmp/snmptrapd.conf
  systemctl unmask snmptrapd && systemctl start snmptrapd
  ```

### 4) SNMPv3 EngineID mismatch (seen with some Fortinet devices)
Some Fortinet devices can send traps using an EngineID that doesn’t match what you configured. The workaround is to capture a trap and use the `msgAuthoritativeEngineID` value in `snmptrapd.conf` .
- Capture:
  ```bash
  tcpdump -i any port 162 -s 0 -vvv -w /tmp/traps_dump.pcap
  ```
- Inspect the PCAP and update `/etc/snmp/snmptrapd.conf` to match the EngineID format the device is actually using .

### 5) SL1 is receiving “too many” traps (rate limiting)
SL1 can throttle syslog/trap processing if a device sends more than ~25 messages/sec . If your test trap works but bursts don’t, this is worth checking.

## What I need from you to narrow it down
- Are these **SNMPv2c or SNMPv3** traps?
- Which appliance should be receiving them: a **Message Collector** or a **Data Collector**?
- When you run `tcpdump` on the collector, do you see the trap packets arriving on UDP `162`?""","SNMP v3 traps or informs configuration and testing, SNMPv3 Trap Configuration in snmptrapd.conf to Authorize Users,  SNMP traps not getting aligned to the source device, SNMP Trap OID translated incorrectly as integer or other value",,,
50,I am unable to open cases on the portal. What should I do? ,"You can reach us via Chat and report an issue, or contact your CSM <name> at <email, or Account Exec <name> at <email>.","[INTERNAL] Opening a Support Case for a POV, Find My Case new customer functionality in support portal website, Customer Case Management new functionality added to My Support",,,
51,Why do I have tmux enabled? ,"TMUX is enabled when you SSH into SL1. See KB 15324 for details. However in version 12.3.4 tmux was turned off by default. To re-enable, use you need to add ""TMUX = true"" into "" [OS_HARDENING]"" section using visilo command. Details in KB 17625.",sciencelogic_12-3-5_release_notes,,,
52,Can I install Crowdstrike Falcon on SL1 appliances? ,Yes. Currently we have tested installation of Falcon Insight (EDR) and Falcon Prevent (NGAV) on SL1 appliances,"[Restorepoint] - CrowdStrike Sensor Self-Installation, Does ScienceLogic support installation of third",,,
53,Why my filesystem is not generating alerts when hitting Major/Critical threshold,It could be related to the behaviour in KB 6315 where event won't be triggered on filesystems that are less than 1GB in size.,"No File System Usage Events Happening (usually for File Systems Under 1 GB in Size), sciencelogic_sysadmin_12-5-4",,,
54,When 12.1.2 will be End-Of-Life? ,"If you would like to check the Product Lifecycle of your ScienceLogic Product, you can click here to visit the Product Updates page on our Support Portal: https://support.sciencelogic.com/s/product-update or contact supoort.",end_of_life,,,
55,Which Vmware version can SL1 monitor? ,"SL1 is designed to be compatible with ESX versions 6.5, 6.7, 7.0, and 8.0. It is built on up-to-date versions of Linux and thus has the same basic compatibility as any other Linux based system.",What versions of VMWare ESX is SL1 compatible with?,,,
56,Can I use YUM/DNF to upgrade SL1 appliances? ,"No, you should not use yum or dnf to upgrade SL1 appliances.

SL1 appliances are self-contained systems with a customized Oracle Linux base.
ScienceLogic provides OS updates only through official SL1 system updates.
Using yum or dnf directly can cause:
Package conflicts
System instability
Breakage of future upgrades
Loss of support
✅ Use only the official SL1 System Update process.
❌ Avoid yum, dnf, or rpm commands unless explicitly instructed by ScienceLogic Support.

For security or OS-level package updates, follow the approved procedures in the documentation or contact Support.","Update_SL1_YumDNF, ENG-System Update - Known Issues & Troubleshooting-031025-144552",,,
57,How do I know if SyncPack is compatible with my PowerFlow version? ,To check compatibility for the above please see the Release Matrix for the various dependencies: https://docs.sciencelogic.com/latest/Content/Web_General_Information/Doc_Archive/powerflow_release_matrix.htm,sciencelogic_powerflow_3-2-0,,,
58,Which ISO version do I need to use when deploying a collector? ,"It's always best practice to use the ISO of the same base version as that of the active central database appliance (CDB) when deploying a new appliance.
For example:

E.g. If the CDB is running 12.3.x then the 12.3 ISO should be used to deploy a new appliance or if the CDB is running 11.3.x then the 11.3 ISO should be used.
This ensures compatibility and avoids issues with communication, version mismatches, or configuration errors.",sciencelogic_installation_12-3-3,,,
59,What is used as a device name when I discover a device using IP? ,"In the case of physical devices SL1 can use one of two processes to determine the display name to use in the SL1 registry for the device.
The first is the entry as recorded in the device's SNMP OID sysName (1.3.6.1.2.1.1.5) if the device has a working read only SNMP credential aligned to it in it's device properties page.
The second is through a DNS reverse lookup against the IP address of the device, this requires the Collector that the device is aligned to have access to a working DNS server with a reverse lookup zone where the device has an entry in.
You can control which option should be preferred on a global scale and that can be set in the System>Settings>Behavior page. This is documented in Global Settings",How does SL1 know what my device name should be in the Registry?,,,
60,How duplicate SNMP Engine ID can impact my collections? ,"Devices that have duplicate engine IDs violate RFC 3414. You will hit an issue with Availability, dynamic application collection and other collection processes are flapping on devices using SNMP v3 described in KB 1107.",Availability dynamic application collection and other collection processes are flapping on devices using SNMP v3,,,
61,What information do I need to collect when opening cases? ,v,How to get faster resolution on Support cases,,,
62,How do I address Dynamic App process SIGTERM? ,"You can follow steps in KB 1360 that describes various reasons and contains SIGTERM script that you can run to collect data

When the Dynamic App process SIGTERMs, it means the process exceeded its 15-minute time limit and was terminated by the Process Manager. Here’s how to address it:

### Common Causes & Fixes
- **Credential timeout too long**  
  Reduce the timeout in the credential settings. Long waits delay the process.

- **Too much data collected**  
  Disable unnecessary collection objects or apps. For example, if monitoring a Windows server with both SNMP and PowerShell CPU apps, disable one.

- **Cache-consuming apps stuck waiting**  
  Check for apps that depend on other apps (e.g., a PowerPack app waiting for cache). Use `sigterm_script_py3.py` to identify bottlenecks.

- **Too many processes running**  
  Reduce the number of concurrent collections. Consider adding another collector to balance load.

- **Insufficient worker processes**  
  Lower the **Batch Factor** for the Data Collection: Dynamic App process (affects all collectors). This increases the number of worker processes spawned.

### Diagnostic Steps
1. **Check logs**  
   Look in `/var/log/em7/silo.log` for:
   - `Data Collection: Dynamic App process did not complete in its allowed timeslot, SIGTERM'ing.`
   - `Data Collection: Dynamic App device list at termination` → lists unprocessed `DeviceID, AppID` pairs.
   - `Data Collection: Dynamic App task list at termination` → shows GUIDs (PowerPack) and child process IDs.

2. **Run the SIGTERM script**  
   On the CDB:
   ```bash
   python3 sigterm_script_py3.py --simple-logging -c 20 -t 10 | tee sigterm_results.log
   ```
   Upload `sigterm_results.log` to Support.

3. **Enable debug logging**  
   In System > Settings > Processes, enable **Debug** for “Data Collection: Dynamic App”. Logs appear in `/var/log/sl1/dynamic_collect.log`.

4. **Check for known issues**  
   If running **8.9.0**, this is a known bug fixed in **8.9.1**. Apply the `dynamic_collect.py` patch file from the KB article.

### Immediate Actions
- Unalign unused apps from devices.
- Reduce Batch Factor (e.g., from 20 to 10).
- Disable redundant or high-data apps.
- Upgrade to 8.9.1+ if on 8.9.0.

### When to Escalate
If the issue persists after troubleshooting, provide:
- SIGTERM logs
- `sigterm_results.log`
- Debug logs
- System specs (CPU, RAM, cores)

This helps Engineering pinpoint root causes.""",Troubleshooting Dynamic Application SIGTERM,,,
